volume,sentiment,Taker Buy Sell Ratio,Gas Price (Mean),Open Interest,Estimated Leverage Ratio,Funding Rates,Exchange Netflow (Total),fng_value,Daily_sentiment,lag_return_1,lag_fng,ma_3,volatility_3,Datetime,Actual_Return,Predicted_Return,Signal,Price,high,low,MA_9,Prev_Close,TR,ATR_14,Position,Cash,Portfolio_Value,Daily_Return
185623703,0,0.91095866,17.410912238,7767176155.10234,0.25994814,0.01073643,-39552.73430972744,67,1,-0.0142414765759135,67.0,-0.0249621376267974,0.034331714099508,2024-04-30,-0.0633749591776434,-0.0376005382447644,-1,3011.39,3249.89,2916.41,3175.6266666666666,3215.15,333.48,164.0842857142856,-1,145406.3437269986,152388.9037296423,0.06766310574186685
194657706,0,0.9393029,11.932315948,7296558879.838458,0.24788633,0.00766334,959.8526362178382,54,-1,-0.0633749591776434,67.0,-0.0307536119492884,0.0282516337241776,2024-05-01,-0.0146444000943085,-0.0320061455949905,-1,2967.29,3019.99,2796.3,3149.792222222222,3011.39,223.6899999999996,165.01642857142843,-1,145406.3437269986,154653.71460235014,0.01486204583980677
95644544,0,1.04513631,10.427611075,7367399648.0583105,0.24887977,0.00176682,-655.764505714993,43,-1,-0.0146444000943085,54.0,-0.0240226002597286,0.0356020293218435,2024-05-02,0.005951558492766,0.0161210590749494,1,2984.95,3015.84,2889.0,3123.7955555555554,2967.29,126.84000000000015,163.71999999999989,-1,145406.3437269986,153738.7295607657,-0.005916347007487555
99585969,0,1.03819325,9.847850187,7555210390.646151,0.24562815,0.00520565,12867.6666296256,48,1,0.005951558492766,43.0,0.010202549731316,0.0272225275858206,2024-05-03,0.0393004907954908,0.0229425396510621,1,3102.26,3127.0,2957.0,3119.78,2984.95,170.0,156.87857142857135,-1,145406.3437269986,147925.19672832306,-0.03781436759007961
56169148,0,1.01037879,7.92721392,7577363541.818362,0.24564594,0.0146046,-16371.911592828284,67,0,0.0393004907954908,48.0,0.0166140837566792,0.0196587924638184,2024-05-04,0.0045902019817809,0.0088605350453707,1,3116.5,3168.23,3091.92,3115.63,3102.26,76.30999999999995,151.36499999999992,-1,145406.3437269986,147249.2927330042,-0.004569228300978501
63643536,0,0.97040683,7.708524885,7658138196.332069,0.24739641,0.01109009,-23561.597098851897,69,1,0.0045902019817809,67.0,0.0166731209198745,0.0196109694192602,2024-05-05,0.0061286699823519,-0.0025753735760739,-1,3135.6,3171.64,3071.0,3116.3844444444444,3116.5,100.63999999999987,152.55857142857135,-1,145406.3437269986,146352.34749407053,-0.006091338180890471
103552735,0,0.94689579,8.31242434,7558124814.062479,0.24891856,0.01243077,52989.012256956834,71,1,0.0061286699823519,69.0,-0.0043160166123724,0.0167760206744297,2024-05-06,-0.0236669218012501,-0.0132030938510528,-1,3061.39,3221.37,3045.0,3095.1255555555554,3135.6,176.3699999999999,157.41714285714278,-1,145406.3437269986,149900.019534397,0.024240622723664895
74702279,0,0.93015649,8.58754592,7472693062.08465,0.2504837,0.01100102,9490.26711356634,68,1,-0.0236669218012501,71.0,-0.0119870852494952,0.0159062915029347,2024-05-07,-0.0184230039295876,-0.016183707022445,-1,3004.99,3129.4,3000.01,3066.6133333333332,3061.39,129.38999999999987,158.60214285714278,-1,145406.3437269986,152713.46021198327,0.018768781260503298
94209477,0,0.94869407,7.388610391,7552714654.122572,0.25689381,0.01054585,-1144.6689709792845,64,1,-0.0184230039295876,68.0,-0.0175807358118673,0.0065480742128399,2024-05-08,-0.0106522817047642,-0.0155763173840762,-1,2972.98,3037.45,2934.46,3039.7055555555553,3004.99,102.98999999999978,152.1907142857142,-1,145406.3437269986,154357.72215164837,0.010766974550787234
60158536,0,1.04478895,6.855968572,7717282375.916903,0.25691736,0.01707322,7027.04231491976,55,1,-0.0106522817047642,64.0,-0.0027155965490535,0.0208417457251238,2024-05-09,0.0209284959871911,0.0171294594349699,1,3035.2,3058.51,2948.45,3042.351111111111,2972.98,110.0600000000004,151.3571428571428,-1,145406.3437269986,151193.47021692395,-0.02049947285187137
91118359,0,0.90415205,8.520410039,7786000840.444053,0.27094982,0.00979283,-10346.380055263056,66,0,0.0209284959871911,55.0,-0.0104781271316528,0.0313199089797895,2024-05-10,-0.0417105956773853,-0.0286438481974361,-1,2908.6,3052.5,2875.71,3035.83,3035.2,176.78999999999996,159.20928571428564,-1,145406.3437269986,157774.33156927992,0.043526095028536105
36304822,0,0.98338579,6.563965162,7679856276.886407,0.26696198,0.01027552,8088.544733102171,53,-1,-0.0417105956773853,66.0,-0.0067268118864629,0.0319561241484834,2024-05-11,0.0006016640308053,-0.0005689327510056,0,2910.35,2943.75,2883.56,3027.541111111111,2908.6,60.190000000000055,147.94214285714278,-1,145406.3437269986,157679.4615088933,-0.000601302248870339
26655468,-1,1.0124078,5.824352172,7698510523.205887,0.26601109,0.00797816,439.1476327780401,56,0,0.0006016640308053,53.0,-0.0118418035880706,0.0259867904920633,2024-05-12,0.005583520882368,0.007400055235997,1,2926.6,2953.61,2899.2,3008.023333333333,2910.35,54.41000000000031,143.8485714285714,-1,145406.3437269986,156803.94341639022,-0.005552518280598551
77447430,0,0.99657129,11.148457218,7814787694.54014,0.26652367,0.01003072,69000.01559465704,57,0,0.005583520882368,56.0,0.0046734051079629,0.0037015713337206,2024-05-13,0.0078350304107155,0.0011241535840984,1,2949.53,2995.34,2862.34,2989.471111111111,2926.6,133.0,141.01142857142855,-1,145406.3437269986,155584.93075249533,-0.007774119944533697
76877285,-1,0.93067673,9.604991843,7863941961.075922,0.27412919,0.01008771,10822.65929357824,66,1,0.0078350304107155,57.0,-0.0033385635908672,0.0174397403596356,2024-05-14,-0.0234342420656851,-0.0158907033207471,-1,2880.41,2959.52,2858.68,2961.116666666667,2949.53,100.84000000000015,124.39428571428572,-1,145406.3437269986,159318.4375843743,0.02399658381966452
91396340,-1,1.03438553,10.129042556,8223681380.671871,0.27125671,0.01117624,57050.33935964061,64,1,-0.0234342420656851,66.0,0.0123440615232911,0.0382327589027655,2024-05-15,0.052631396224843,0.0301310820522796,1,3032.01,3040.83,2861.8,2957.8522222222223,2880.41,179.02999999999975,121.20428571428572,-1,145406.3437269986,151352.54197789833,-0.0499998350928923
73793178,-1,0.93778284,7.40396994,8108271388.728986,0.27552845,0.01006835,16738.153395069647,70,1,0.052631396224843,64.0,2.0455449477221888e-05,0.0456515084408224,2024-05-16,-0.0291357878107262,-0.0197831548700151,-1,2943.67,3040.8,2921.35,2951.038888888889,3032.01,119.45000000000027,120.67642857142859,-1,145406.3437269986,155894.6555838146,0.03001015738856605
91699892,-1,1.06814761,8.502476608,8853217372.443508,0.28567684,0.00910789,10870.9708520727,74,0,-0.0291357878107262,70.0,0.0246963051361489,0.0466310961184555,2024-05-17,0.05059330699433,0.0474594997112027,1,3092.6,3121.21,2931.81,2964.33,2943.67,189.4000000000001,122.06214285714289,-1,145406.3437269986,148387.25370316484,-0.048156890642177985
48683714,-1,0.9857758,5.370062057,8966600202.526184,0.28657442,0.00875022,-7852.4216649483715,73,1,0.05059330699433,74.0,0.0104280674111549,0.0398679493700255,2024-05-18,0.009826683049861,-0.0024226744065033,-1,3122.99,3147.6,3084.0,2974.084444444444,3092.6,63.59999999999991,121.15428571428573,0,146943.2885799851,146943.2885799851,-0.00973105901715976
45852707,-1,0.92391292,5.46789363,8659452310.136253,0.28141718,0.01059323,5444.963146380294,72,1,0.009826683049861,73.0,0.0144381959498331,0.0340841362643222,2024-05-19,-0.0171054021946914,-0.0119941182142564,-1,3069.57,3136.52,3051.75,2991.97,3122.99,84.76999999999998,120.02071428571432,0,146943.2885799851,146943.2885799851,0.0
244076230,0,1.07724422,18.809071595,11187863438.44011,0.30342669,0.00995582,34680.54782917118,70,1,-0.0171054021946914,72.0,0.061997550370747,0.1144812043287689,2024-05-20,0.1932713702570716,0.0885034958617815,1,3662.83,3696.83,3046.3,3075.578888888889,3069.57,650.5299999999997,153.88928571428573,1,146943.2885799851,146943.2885799851,0.0
255055062,0,0.98927672,17.542154481,11812709349.679638,0.30707766,0.03572075,25467.04284208012,76,1,0.1932713702570716,70.0,0.0704406149341655,0.1095370081701713,2024-05-21,0.0351558767401163,0.025387097709267,1,3791.6,3843.07,3626.14,3171.69,3662.83,216.9300000000003,160.14214285714291,1,146943.2885799851,152109.2087210904,0.03515587674011633
189782020,0,0.96477831,15.761197655,11535944412.292969,0.30544226,0.02075382,-46786.902564199525,76,1,0.0351558767401163,76.0,0.0715524448530556,0.1082130112916519,2024-05-22,-0.0137699124380209,0.0212114763682363,1,3739.39,3814.2,3655.1,3259.452222222222,3791.6,159.0999999999999,164.15000000000006,1,146943.2885799851,150014.67823598432,-0.013769912438021059
445050378,-1,0.98087155,15.571613824,11608502042.834024,0.30486769,0.02474821,-42041.77209162386,76,1,-0.0137699124380209,76.0,0.0111168275263801,0.0244739074604455,2024-05-23,0.0119645182770451,0.0095597427878543,1,3784.13,3949.56,3522.55,3359.8655555555556,3739.39,427.00999999999976,186.78928571428574,1,146943.2885799851,151809.5315955638,0.011964518277045144
146931976,-1,0.96721419,11.463182504,11542644026.21735,0.31048952,0.01848406,-55684.79166457977,74,1,0.0119645182770451,76.0,-0.0054765424907331,0.0151104406476976,2024-05-24,-0.0146242333112235,-0.0068091482301803,-1,3728.79,3830.32,3628.0,3437.2855555555557,3784.13,202.32000000000016,188.61285714285717,1,146943.2885799851,149589.43358664276,-0.014624233311223311
