volume,sentiment,Taker Buy Sell Ratio,Gas Price (Mean),Open Interest,Estimated Leverage Ratio,Funding Rates,Exchange Netflow (Total),fng_value,Daily_sentiment,lag_return_1,lag_fng,ma_3,volatility_3,Datetime,Actual_Return,Predicted_Return,Signal
44460311,0,1.04364941,30.785077921,7645354357.105347,0.26259372,0.01970235,-15961.59068264044,72,0,-0.0164166697516633,76.0,0.0026568644370210163,0.020457585829876716,2024-02-24,0.024262725869862,0.018616686544333478,Buy
122120845,0,1.07049224,31.687193252,8456779111.049257,0.27927301,0.02433013,2467.9159010057338,74,0,0.024262725869862,72.0,0.01607785412725655,0.02927324200143563,2024-02-25,0.040387506263571,0.03864162209805857,Buy
150967504,0,0.98771709,44.049515982,8244557649.869638,0.26795317,0.03021141,-15264.729684420745,72,-1,0.040387506263571,74.0,0.028601194767998512,0.01032496514296703,2024-02-26,0.0211533521705626,0.013131050119218383,Buy
178050890,0,1.01353292,52.078273471,7940579404.788086,0.25380584,0.05067896,-41297.36032639025,79,1,0.0211533521705626,72.0,0.027429153120784578,0.011224105700374121,2024-02-27,0.0207466009282202,0.03192837706419437,Buy
346831765,1,0.99699581,65.493392699,7730523277.346566,0.23702983,0.04793476,46649.61167159933,82,1,0.0207466009282202,79.0,0.028747763246161614,0.013507693872318843,2024-02-28,0.0443433366397021,0.022825670962671973,Buy
248184845,1,0.93390927,74.113151775,7897662806.926458,0.24498035,0.09250962,-10633.58109689143,80,1,0.0443433366397021,82.0,0.017304587546901784,0.028913822729139834,2024-02-29,-0.0131761749272169,-0.006703309487466258,Sell
125250370,1,0.96980312,58.406377546,7910847791.926931,0.23863597,0.06464054,-19836.51965821639,80,1,-0.0131761749272169,80.0,0.01965213251030605,0.029610519928052435,2024-03-01,0.027789235818433,0.013151141398293218,Buy
84836326,0,0.9344119,52.441171233,7881786914.874655,0.23947972,0.04902765,-34063.78573758114,80,-1,0.027789235818433,80.0,0.0038192081264903817,0.02135475287289007,2024-03-02,-0.0031554365117449,-0.011126548320354469,Sell
123031655,1,0.97248963,54.765290988,8098614371.841157,0.24186002,0.04454995,6256.869004247652,83,1,-0.0031554365117449,80.0,0.014671455991508547,0.016000781013884937,2024-03-03,0.0193805686678376,0.00963085359318679,Buy
253627003,1,0.97507991,86.436145511,8059845462.109188,0.23187053,0.07081858,-18249.40929852589,82,1,0.0193805686678376,83.0,0.01882054860400285,0.021701395155430053,2024-03-04,0.0402365136559159,0.011910189296917912,Buy
631957918,1,0.9418425,98.680928276,7895900276.153285,0.22970792,0.11831259,85501.25149442465,90,1,0.0402365136559159,82.0,0.013115232224065618,0.030736660524787972,2024-03-05,-0.0202713856515566,-0.008174040322595593,Sell
389849906,1,0.9923564,83.456739429,8460616493.832517,0.22709203,0.05261299,63639.5746821342,75,1,-0.0202713856515566,90.0,0.03131946277483132,0.047760770694723675,2024-03-06,0.0739932603201347,0.02394074360341864,Buy
213601833,1,0.97692682,74.415996706,8594109228.977022,0.22815625,0.04093454,29677.64540341333,82,1,0.0739932603201347,75.0,0.02243164207961759,0.04775261081240743,2024-03-07,0.0135730515702747,0.007663834768503249,Buy
277306358,1,0.98297489,66.04749331,8874014067.189623,0.23458754,0.04924436,53381.30476564262,81,1,0.0135730515702747,82.0,0.030788192774393958,0.037673035579527704,2024-03-08,0.0047982664327725,0.01731772450266793,Buy
82655947,1,0.95418075,59.055881981,9014993446.56772,0.23725389,0.04000162,-12953.867069826289,84,0,0.0047982664327725,81.0,0.007949189869222821,0.004882190215235108,2024-03-09,0.0054762516046213,-0.0026083167815798103,Sell
122872192,1,0.93209549,63.679788574,8925456037.254225,0.23655622,0.0512025,14997.627620568031,79,1,0.0054762516046213,84.0,0.0008552567689126218,0.007424388579188838,2024-03-10,-0.0077087477306559,-0.008048620156796273,Sell
288754230,1,0.96427847,72.310953858,9328120331.1903,0.23394919,0.07973797,-21651.905186016345,82,1,-0.0077087477306559,79.0,0.015249425522907221,0.029102695195306363,2024-03-11,0.0479807726947563,0.0026680053688253854,Buy
247022212,1,0.96091265,64.385923989,9229114676.941416,0.23426029,0.07211862,94470.25030863844,81,1,0.0479807726947563,82.0,0.006287699002176755,0.03675129970509397,2024-03-12,-0.0214089279575701,-0.005568632147522035,Sell
166246414,1,0.95700137,64.569491149,9445644778.745344,0.23804958,0.0561382,-50435.46672712581,81,1,-0.0214089279575701,81.0,0.010953259993662588,0.03492930833012764,2024-03-13,0.0062879352438016,-0.003713554606193395,Sell
243637858,1,0.93550504,56.888536551,9669247070.082874,0.24990063,0.05531439,74965.77959001891,88,1,0.0062879352438016,81.0,-0.015561126056612412,0.01959105113503081,2024-03-14,-0.0315623854560687,-0.025707934955992055,Sell
315686711,1,0.96778138,45.740465011,9025600124.287449,0.23914329,0.05854156,109853.06878632132,83,0,-0.0315623854560687,88.0,-0.02034499641981981,0.023160114640109437,2024-03-15,-0.0357605390471923,-0.011588723445452037,Sell
144257148,1,0.94047121,37.414230291,8966683969.653448,0.25173021,0.05032366,14573.765497870743,81,-1,-0.0357605390471923,83.0,-0.04207604381528368,0.014724865774185355,2024-03-16,-0.05890520694259,-0.03893125105058679,Sell
139453368,1,0.99601314,32.275112489,9073183276.84652,0.24533654,0.04462894,30384.81191978167,79,1,-0.05890520694259,81.0,-0.02009135882858441,0.04858208718464386,2024-03-17,0.0343916695040291,0.0039150166503096615,Buy
149195012,1,0.95101986,40.439650375,9024732374.495838,0.25101715,0.03668779,28159.1282787096,77,0,0.0343916695040291,79.0,-0.019381923027183546,0.048253292741617305,2024-03-18,-0.0336322316429897,-0.02950054186195698,Sell
298016414,1,0.939215,44.977949993,8164211469.030313,0.2515227,0.02636578,46430.877989060944,79,-1,-0.0336322316429897,77.0,-0.03414651342752941,0.0687967655078408,2024-03-19,-0.1031989781436276,-0.04904263631311061,Sell
371191274,1,0.98609234,38.891587035,8588191983.926337,0.23871382,0.0164548,-22082.546658523614,74,-1,-0.1031989781436276,79.0,-0.007780794756874145,0.11063283262899579,2024-03-20,0.1134888255159949,0.003283771032538063,Buy
185457660,1,0.97408467,33.968806911,8535986337.282093,0.23907357,0.01806805,6877.289209063863,78,1,0.1134888255159949,74.0,0.0011947712716176865,0.10855971709618024,2024-03-21,-0.0067055335575142,-0.008839099167436058,Sell
191088535,1,0.92405775,27.91071844,8314670803.791567,0.24388051,0.01968901,-19163.752485024044,75,0,-0.0067055335575142,78.0,0.02078406740496366,0.08247080410488189,2024-03-22,-0.0444310897435897,-0.0068342218385433525,Sell
107051469,1,0.98215832,21.387739965,8273194295.942749,0.24361083,0.01833339,-31139.36374733603,73,1,-0.0444310897435897,75.0,-0.017804219482626074,0.02316565947611524,2024-03-23,-0.0022760351467743,-0.0006928543478471734,Hold
108534121,1,1.0405039,21.236141274,8561888570.393215,0.24334386,0.01880367,-5513.968486712081,74,1,-0.0022760351467743,73.0,-0.002998278559589442,0.04107645193056866,2024-03-24,0.0377122892115957,0.029983516016858076,Buy
149620812,1,1.01493639,29.623241049,9052503118.42612,0.2468669,0.02622832,29622.829808328068,75,1,0.0377122892115957,74.0,0.025103264204526923,0.02373578046748159,2024-03-25,0.0398735385487594,0.03054519030291105,Buy
133788527,1,1.01257422,34.984052996,9104407685.969522,0.24803391,0.04607947,-122958.65507685032,81,1,0.0398735385487594,75.0,0.02535754253078179,0.0232958227921413,2024-03-26,-0.0015132001680097,0.030633494171543027,Buy
161982969,1,0.94561462,39.817196793,8984869227.415632,0.25043754,0.04742371,10656.217114132363,83,-1,-0.0015132001680097,81.0,0.0048044379300658906,0.03237592443789684,2024-03-27,-0.023947024590552,-0.010804652145316599,Sell
113840785,1,0.99252098,37.886051029,9187999120.425953,0.25229324,0.05569457,-37218.56384051021,80,1,-0.023947024590552,83.0,-0.0027812304448852423,0.020561125328857795,2024-03-28,0.017116533423906,0.00900614298302305,Buy
84512199,1,0.9446819,29.083964023,9144309367.79207,0.25561448,0.0353337,-27607.0101835524,79,1,0.017116533423906,80.0,-0.0068882720022317755,0.021394851874247847,2024-03-29,-0.0138343248400493,-0.012930495307647798,Sell
55178204,1,0.96135023,25.026990671,9240327974.920267,0.25899828,0.02780283,-36714.27929389192,75,0,-0.0138343248400493,79.0,0.000613177173856091,0.015577509727137763,2024-03-30,-0.0014426770622884,-0.0005863703181939131,Hold
