volume,sentiment,Taker Buy Sell Ratio,MVRV Ratio,Open Interest,Funding Rates,Estimated Leverage Ratio,Exchange Netflow (Total),fng_value,Daily_sentiment,lag_return_1,lag_fng,ma_3,volatility_3,Datetime,Actual_Return,Predicted_Return,Signal
19405483,-1,0.96583668,2.11420367,18009490190.37039,0.0044126816666666,0.17419436,-20138.10598870999,71,1,-0.0094483523317278,70.0,-0.005988899552497057,0.019810427034787602,2024-07-23,-0.023841746005893,-0.003604308801566035,Sell
14146555,-1,0.9779774,2.09490381,17865596713.764133,0.0046885316666666,0.17443102,-2029.631224749996,69,0,-0.023841746005893,71.0,-0.014024188721858455,0.00850877040541544,2024-07-24,-0.0087824678279546,-0.006362581492996649,Sell
20577752,-1,0.96378255,2.10822625,18126225385.86255,0.008160245,0.17531173,4646.337138539995,68,1,-0.0087824678279546,69.0,-0.008750208376163124,0.015107693186996266,2024-07-25,0.0063735887053582,-0.009034280980137326,Sell
18280732,-1,1.02014826,2.17318195,19049024564.31969,0.0083344683333333,0.17838898,-3146.229570079995,68,1,0.0063735887053582,68.0,0.009993171324045777,0.02082272751175894,2024-07-26,0.0323883930947337,0.023869330251247,Buy
27151432,-1,1.02964876,2.17042713,19365790263.368217,0.0119337516666666,0.18137269,780.0543135200023,72,-1,0.0323883930947337,68.0,0.012772881871428507,0.017326102465836078,2024-07-27,-0.0004433361858064,0.019102720728501464,Buy
8357716,-1,0.97936062,2.18073362,19600259205.17969,0.0067545516666666,0.18249651,1293.396433580001,71,1,-0.0004433361858064,72.0,0.012416098281955376,0.01753354495256015,2024-07-28,0.0053032379369388,0.0016315838580919406,Buy
30528855,-1,0.96762794,2.13087614,19437692037.70283,0.0127474333333333,0.18538923,-8446.673982870001,74,0,0.0053032379369388,71.0,-0.005603286702404624,0.014207550685794632,2024-07-29,-0.0216697618583463,-0.002725146374390701,Sell
17409217,-1,0.94997537,2.11038367,19124816898.42104,0.0081451066666666,0.18434171,-22144.94384169999,67,0,-0.0216697618583463,74.0,-0.008462443252030091,0.013495166026003454,2024-07-30,-0.0090208058346828,-0.01167281936960071,Sell
18356473,-1,0.9574017,2.0607402,18778042292.89898,0.0154628216666666,0.18542338,-28865.9308888,61,1,-0.0090208058346828,67.0,-0.018112030154898557,0.007934965502572921,2024-07-31,-0.0236455227716666,-0.017274189865175836,Sell
25001421,-1,0.94824345,2.08243642,18803323558.14575,0.0105608383333333,0.18432032,-5932.933032449997,52,1,-0.0236455227716666,61.0,-0.007221983592685625,0.017392855665165918,2024-08-01,0.0110003778282925,-0.009794251270677309,Sell
30075578,-1,0.93482164,1.95824024,17778326002.907753,0.0101601133333333,0.18506062,4137.04862899,57,0,0.0110003778282925,52.0,-0.024137445823009588,0.035386349694007155,2024-08-02,-0.0597671925256547,-0.03096985520349941,Sell
21668389,-1,0.95031716,1.93476813,17349613395.921066,0.008948535,0.18279074,624.8946668800018,37,0,-0.0597671925256547,57.0,-0.02021784712531769,0.036111880723296984,2024-08-03,-0.0118867266785909,-0.01686461862652319,Sell
21085276,-1,0.92873979,1.85386411,16736037224.94129,0.0070055449999999,0.18416126,-2112.6814582000006,34,-1,-0.0118867266785909,37.0,-0.037753081597143356,0.02417156573853014,2024-08-04,-0.0416053255871845,-0.03545174684783256,Sell
89484107,-1,0.96375284,1.72756839,13615751469.47504,-0.0067780383333333,0.16144124,5035.985233810003,26,1,-0.0416053255871845,34.0,-0.04145295707440859,0.029490341358290147,2024-08-05,-0.0708668189574504,-0.031366620534894384,Sell
25269974,-1,1.01393567,1.79287408,14342435122.423254,-0.0130794666666666,0.16416116,-860.6270442000023,17,1,-0.0708668189574504,26.0,-0.025221192657297786,0.055676090210852854,2024-08-06,0.0368085665727415,0.013160779367746126,Buy
19750313,-1,0.9806696,1.76409405,14281191991.80023,0.0091149283333333,0.16616976,993.8145721999972,29,0,0.0368085665727415,17.0,-0.016633439141438024,0.05384205481773204,2024-08-07,-0.0158420650396052,-0.025127601029718952,Sell
28466222,-1,1.11650166,1.97200829,15333869910.001251,0.00674233,0.1595047,-3914.340611239997,20,1,-0.0158420650396052,29.0,0.04662068641122614,0.06790261421484547,2024-08-08,0.1188955577005421,0.05944095005847219,Buy
16882272,-1,0.99186862,1.94282493,14834999012.731918,0.0105025833333333,0.15606615,6232.376593909998,48,-1,0.1188955577005421,20.0,0.02987076414636867,0.07710707774576012,2024-08-09,-0.0134412002218309,-0.00608845079244069,Sell
5203058,-1,0.99614285,1.9428544,14994997422.898132,0.0125230166666666,0.15751104,-774.1113376499998,40,-1,-0.0134412002218309,48.0,0.03554264442843271,0.07255466237810658,2024-08-10,0.0011735758065869,0.0055073581852399635,Buy
12095542,-1,0.9378333,1.87230031,14593405726.94599,0.010487215,0.15951605,-3521.1385667899995,39,1,0.0011735758065869,40.0,-0.016240797367088323,0.018969748723460425,2024-08-11,-0.036454767686021,-0.021366386688752934,Sell
23363561,-1,1.00581383,1.89235579,14313384355.878351,0.0188456666666666,0.15449549,3528.94536405,25,-1,-0.036454767686021,39.0,-0.008101662617858824,0.025038905831844892,2024-08-12,0.0109762040258576,0.0076546272090782085,Buy
14213259,-1,1.01609585,1.9325432,15224425850.541147,0.007383725,0.16106296,-1635.3698603600023,31,1,0.0109762040258576,25.0,-0.001489095095756424,0.030694044602411426,2024-08-13,0.0210112783728941,0.014005237884277148,Buy
17165681,-1,0.93788775,1.87193584,15182887511.017368,0.0040206633333333,0.16577442,859.4488722300011,30,0,0.0210112783728941,31.0,6.574980227727623e-05,0.028040656360466612,2024-08-14,-0.0317902329919199,-0.01677559706010531,Sell
26765672,-1,0.95478272,1.8358698,15327673513.583069,0.00669415,0.1710778,-3551.3784402999954,29,-1,-0.0317902329919199,30.0,-0.00998737290529649,0.027575747176302002,2024-08-15,-0.0191831640968637,-0.0176944818099178,Sell
16314032,-1,1.01273626,1.87826127,15471729059.953287,0.0008326283333333,0.16903799,-8273.07645085,27,-1,-0.0191831640968637,29.0,-0.009272314717532289,0.02878286426305321,2024-08-16,0.0231564529361867,0.003341546105717863,Buy
