Datetime,Gas Price (Mean)
2020-03-12T00:00:00Z,77.846617992
2020-03-11T00:00:00Z,12.872090527
2020-03-10T00:00:00Z,11.513906701
2020-03-09T00:00:00Z,14.183415854
2020-03-08T00:00:00Z,13.015267652
2020-03-07T00:00:00Z,10.971463022
2020-03-06T00:00:00Z,11.180873678
2020-03-05T00:00:00Z,11.497324543
2020-03-04T00:00:00Z,10.896359613
2020-03-03T00:00:00Z,10.682582637
2020-03-02T00:00:00Z,10.038087765
2020-03-01T00:00:00Z,10.339278952
2020-02-29T00:00:00Z,9.975932786
2020-02-28T00:00:00Z,11.77072754
2020-02-27T00:00:00Z,11.855994827
2020-02-26T00:00:00Z,14.277927459
2020-02-25T00:00:00Z,11.674769474
2020-02-24T00:00:00Z,12.092080124
2020-02-23T00:00:00Z,12.926972177
2020-02-22T00:00:00Z,10.330467634
2020-02-21T00:00:00Z,9.476216459
2020-02-20T00:00:00Z,12.000049756
2020-02-19T00:00:00Z,12.062562683
2020-02-18T00:00:00Z,11.163779143
2020-02-17T00:00:00Z,11.962474471
2020-02-16T00:00:00Z,12.543790558
2020-02-15T00:00:00Z,13.088417479
2020-02-14T00:00:00Z,12.604179961
2020-02-13T00:00:00Z,13.254918827
2020-02-12T00:00:00Z,12.678575688
2020-02-11T00:00:00Z,11.172834183
2020-02-10T00:00:00Z,11.315363845
2020-02-09T00:00:00Z,11.19820371
2020-02-08T00:00:00Z,11.659952978
2020-02-07T00:00:00Z,13.069985854
2020-02-06T00:00:00Z,12.946171581
2020-02-05T00:00:00Z,12.36622381
2020-02-04T00:00:00Z,11.672503802
2020-02-03T00:00:00Z,9.818813483
2020-02-02T00:00:00Z,9.030563523
2020-02-01T00:00:00Z,9.20388619
2020-01-31T00:00:00Z,8.933181195
2020-01-30T00:00:00Z,9.04148573
2020-01-29T00:00:00Z,8.540928325
2020-01-28T00:00:00Z,8.42473101
2020-01-27T00:00:00Z,8.575134899
2020-01-26T00:00:00Z,7.292977565
2020-01-25T00:00:00Z,7.486381501
2020-01-24T00:00:00Z,8.278356694
2020-01-23T00:00:00Z,8.949018362
2020-01-22T00:00:00Z,9.915480077
2020-01-21T00:00:00Z,9.510559282
2020-01-20T00:00:00Z,9.608909994
2020-01-19T00:00:00Z,10.357278636
2020-01-18T00:00:00Z,10.808452018
2020-01-17T00:00:00Z,10.647132526
2020-01-16T00:00:00Z,9.88243672
2020-01-15T00:00:00Z,11.15331257
2020-01-14T00:00:00Z,15.734901124
2020-01-13T00:00:00Z,11.044551911
2020-01-12T00:00:00Z,10.915986943
2020-01-11T00:00:00Z,11.160217943
2020-01-10T00:00:00Z,12.295063175
2020-01-09T00:00:00Z,10.856935923
2020-01-08T00:00:00Z,11.392937289
2020-01-07T00:00:00Z,10.44667152
2020-01-06T00:00:00Z,10.987782765
2020-01-05T00:00:00Z,9.722591641
2020-01-04T00:00:00Z,9.641878205
2020-01-03T00:00:00Z,11.457792801
2020-01-02T00:00:00Z,10.549622182
2020-01-01T00:00:00Z,11.653078499
2019-12-31T00:00:00Z,14.012024993
2019-12-30T00:00:00Z,11.97638156
2019-12-29T00:00:00Z,11.237678855
2019-12-28T00:00:00Z,11.799263253
2019-12-27T00:00:00Z,12.089403346
2019-12-26T00:00:00Z,11.923552525
2019-12-25T00:00:00Z,11.906752772
2019-12-24T00:00:00Z,11.734131588
2019-12-23T00:00:00Z,12.717961965
2019-12-22T00:00:00Z,11.02741525
