Datetime,Taker Buy Sell Ratio
2024-06-26T00:00:00Z,0.99675397
2024-06-25T00:00:00Z,1.02490966
2024-06-24T00:00:00Z,0.91888845
2024-06-23T00:00:00Z,0.86521624
2024-06-22T00:00:00Z,0.94339668
2024-06-21T00:00:00Z,0.95152994
2024-06-20T00:00:00Z,0.97874995
2024-06-19T00:00:00Z,1.03187697
2024-06-18T00:00:00Z,0.93712909
2024-06-17T00:00:00Z,0.95162397
2024-06-16T00:00:00Z,1.0411009
2024-06-15T00:00:00Z,1.04374516
2024-06-14T00:00:00Z,0.97580132
2024-06-13T00:00:00Z,0.93097978
2024-06-12T00:00:00Z,0.98640291
2024-06-11T00:00:00Z,0.90180712
2024-06-10T00:00:00Z,0.97584728
2024-06-09T00:00:00Z,1.05351623
2024-06-08T00:00:00Z,0.95168196
2024-06-07T00:00:00Z,0.87424876
2024-06-06T00:00:00Z,0.91057059
2024-06-05T00:00:00Z,1.03002474
2024-06-04T00:00:00Z,0.99179864
2024-06-03T00:00:00Z,0.96749728
2024-06-02T00:00:00Z,0.9829164
2024-06-01T00:00:00Z,1.06401622
2024-05-31T00:00:00Z,0.99497272
2024-05-30T00:00:00Z,0.97652738
2024-05-29T00:00:00Z,0.94485116
2024-05-28T00:00:00Z,0.92163501
2024-05-27T00:00:00Z,1.03611123
2024-05-26T00:00:00Z,1.04146213
2024-05-25T00:00:00Z,1.00815595
2024-05-24T00:00:00Z,0.96721419
2024-05-23T00:00:00Z,0.98087155
2024-05-22T00:00:00Z,0.96477831
2024-05-21T00:00:00Z,0.98927672
2024-05-20T00:00:00Z,1.07724422
2024-05-19T00:00:00Z,0.92391292
2024-05-18T00:00:00Z,0.9857758
2024-05-17T00:00:00Z,1.06814761
2024-05-16T00:00:00Z,0.93778284
2024-05-15T00:00:00Z,1.03438553
2024-05-14T00:00:00Z,0.93067673
2024-05-13T00:00:00Z,0.99657129
2024-05-12T00:00:00Z,1.0124078
2024-05-11T00:00:00Z,0.98338579
2024-05-10T00:00:00Z,0.90415205
2024-05-09T00:00:00Z,1.04478895
2024-05-08T00:00:00Z,0.94869407
2024-05-07T00:00:00Z,0.93015649
2024-05-06T00:00:00Z,0.94689579
2024-05-05T00:00:00Z,0.97040683
2024-05-04T00:00:00Z,1.01037879
2024-05-03T00:00:00Z,1.03819325
2024-05-02T00:00:00Z,1.04513631
2024-05-01T00:00:00Z,0.9393029
2024-04-30T00:00:00Z,0.91095866
2024-04-29T00:00:00Z,0.93590101
2024-04-28T00:00:00Z,0.99265596
2024-04-27T00:00:00Z,1.01899216
2024-04-26T00:00:00Z,0.97839997
2024-04-25T00:00:00Z,0.96146169
2024-04-24T00:00:00Z,0.93000376
2024-04-23T00:00:00Z,1.01360065
2024-04-22T00:00:00Z,0.99015386
2024-04-21T00:00:00Z,0.95302042
2024-04-20T00:00:00Z,1.00349592
2024-04-19T00:00:00Z,0.9510289
2024-04-18T00:00:00Z,0.99134884
2024-04-17T00:00:00Z,0.96789679
2024-04-16T00:00:00Z,0.96772802
2024-04-15T00:00:00Z,0.95027538
2024-04-14T00:00:00Z,0.96090543
2024-04-13T00:00:00Z,0.89439462
2024-04-12T00:00:00Z,0.86901578
2024-04-11T00:00:00Z,0.95961692
2024-04-10T00:00:00Z,0.96699286
2024-04-09T00:00:00Z,0.92367996
2024-04-08T00:00:00Z,1.04698871
2024-04-07T00:00:00Z,1.01557274
2024-04-06T00:00:00Z,0.9670198
